,i,x,y
0,0.0,420.0,210.0
1,1.0,423.0,236.0
2,2.0,428.0,260.0
3,3.0,435.0,284.0
4,4.0,445.0,306.0
5,5.0,459.0,324.0
6,6.0,478.0,337.0
7,7.0,499.0,346.0
8,8.0,524.0,347.0
9,9.0,550.0,345.0
10,10.0,573.0,337.0
11,11.0,594.0,323.0
12,12.0,609.0,306.0
13,13.0,619.0,283.0
14,14.0,625.0,258.0
15,15.0,630.0,232.0
16,16.0,633.0,205.0
17,17.0,435.0,168.0
18,18.0,446.0,152.0
19,19.0,463.0,144.0
20,20.0,483.0,144.0
21,21.0,503.0,150.0
22,22.0,538.0,150.0
23,23.0,557.0,142.0
24,24.0,579.0,142.0
25,25.0,598.0,151.0
26,26.0,610.0,168.0
27,27.0,520.0,178.0
28,28.0,520.0,192.0
29,29.0,520.0,206.0
30,30.0,520.0,221.0
31,31.0,503.0,243.0
32,32.0,512.0,244.0
33,33.0,521.0,245.0
34,34.0,530.0,244.0
35,35.0,539.0,241.0
36,36.0,455.0,190.0
37,37.0,466.0,182.0
38,38.0,480.0,181.0
39,39.0,491.0,189.0
40,40.0,479.0,193.0
41,41.0,465.0,193.0
42,42.0,551.0,188.0
43,43.0,563.0,179.0
44,44.0,577.0,180.0
45,45.0,589.0,188.0
46,46.0,577.0,192.0
47,47.0,563.0,191.0
48,48.0,492.0,289.0
49,49.0,501.0,271.0
50,50.0,513.0,262.0
51,51.0,522.0,265.0
52,52.0,530.0,262.0
53,53.0,543.0,271.0
54,54.0,556.0,288.0
55,55.0,544.0,296.0
56,56.0,531.0,299.0
57,57.0,522.0,300.0
58,58.0,513.0,299.0
59,59.0,501.0,296.0
60,60.0,498.0,286.0
61,61.0,513.0,276.0
62,62.0,522.0,276.0
63,63.0,530.0,277.0
64,64.0,548.0,286.0
65,65.0,530.0,285.0
66,66.0,522.0,285.0
67,67.0,513.0,284.0
