,i,x,y
0,0.0,237.0,379.0
1,1.0,241.0,405.0
2,2.0,248.0,429.0
3,3.0,257.0,453.0
4,4.0,270.0,475.0
5,5.0,288.0,495.0
6,6.0,310.0,512.0
7,7.0,335.0,523.0
8,8.0,356.0,525.0
9,9.0,375.0,518.0
10,10.0,394.0,500.0
11,11.0,410.0,479.0
12,12.0,422.0,457.0
13,13.0,430.0,434.0
14,14.0,434.0,410.0
15,15.0,435.0,386.0
16,16.0,434.0,361.0
17,17.0,253.0,361.0
18,18.0,267.0,350.0
19,19.0,285.0,347.0
20,20.0,304.0,349.0
21,21.0,322.0,357.0
22,22.0,363.0,353.0
23,23.0,378.0,345.0
24,24.0,394.0,339.0
25,25.0,412.0,339.0
26,26.0,424.0,347.0
27,27.0,345.0,381.0
28,28.0,347.0,398.0
29,29.0,349.0,415.0
30,30.0,352.0,432.0
31,31.0,334.0,448.0
32,32.0,343.0,448.0
33,33.0,352.0,449.0
34,34.0,360.0,446.0
35,35.0,367.0,444.0
36,36.0,275.0,386.0
37,37.0,287.0,381.0
38,38.0,301.0,381.0
39,39.0,313.0,390.0
40,40.0,301.0,394.0
41,41.0,286.0,393.0
42,42.0,372.0,385.0
43,43.0,383.0,375.0
44,44.0,396.0,372.0
45,45.0,408.0,375.0
46,46.0,399.0,385.0
47,47.0,386.0,387.0
48,48.0,316.0,476.0
49,49.0,333.0,472.0
50,50.0,346.0,466.0
51,51.0,353.0,469.0
52,52.0,360.0,465.0
53,53.0,370.0,467.0
54,54.0,384.0,467.0
55,55.0,372.0,482.0
56,56.0,362.0,490.0
57,57.0,355.0,492.0
58,58.0,347.0,492.0
59,59.0,333.0,489.0
60,60.0,322.0,477.0
61,61.0,346.0,477.0
62,62.0,354.0,478.0
63,63.0,361.0,475.0
64,64.0,378.0,469.0
65,65.0,361.0,474.0
66,66.0,353.0,477.0
67,67.0,346.0,477.0
