,i,x,y
0,0.0,441.0,501.0
1,1.0,439.0,537.0
2,2.0,445.0,571.0
3,3.0,455.0,605.0
4,4.0,471.0,637.0
5,5.0,491.0,667.0
6,6.0,516.0,695.0
7,7.0,544.0,718.0
8,8.0,575.0,727.0
9,9.0,607.0,720.0
10,10.0,643.0,699.0
11,11.0,675.0,671.0
12,12.0,702.0,638.0
13,13.0,718.0,599.0
14,14.0,727.0,559.0
15,15.0,733.0,517.0
16,16.0,735.0,475.0
17,17.0,447.0,453.0
18,18.0,465.0,443.0
19,19.0,488.0,442.0
20,20.0,510.0,445.0
21,21.0,531.0,452.0
22,22.0,584.0,447.0
23,23.0,610.0,436.0
24,24.0,638.0,431.0
25,25.0,667.0,433.0
26,26.0,691.0,446.0
27,27.0,559.0,489.0
28,28.0,559.0,518.0
29,29.0,559.0,546.0
30,30.0,558.0,575.0
31,31.0,539.0,592.0
32,32.0,551.0,596.0
33,33.0,563.0,598.0
34,34.0,576.0,594.0
35,35.0,590.0,590.0
36,36.0,468.0,493.0
37,37.0,483.0,481.0
38,38.0,504.0,483.0
39,39.0,521.0,499.0
40,40.0,502.0,503.0
41,41.0,482.0,502.0
42,42.0,607.0,494.0
43,43.0,624.0,476.0
44,44.0,645.0,475.0
45,45.0,664.0,486.0
46,46.0,648.0,495.0
47,47.0,627.0,496.0
48,48.0,529.0,640.0
49,49.0,541.0,625.0
50,50.0,555.0,618.0
51,51.0,566.0,621.0
52,52.0,580.0,618.0
53,53.0,600.0,625.0
54,54.0,623.0,637.0
55,55.0,603.0,658.0
56,56.0,583.0,667.0
57,57.0,569.0,668.0
58,58.0,555.0,666.0
59,59.0,542.0,657.0
60,60.0,537.0,639.0
61,61.0,555.0,632.0
62,62.0,567.0,633.0
63,63.0,581.0,632.0
64,64.0,616.0,636.0
65,65.0,582.0,646.0
66,66.0,568.0,648.0
67,67.0,555.0,645.0
