,i,x,y
0,0.0,155.0,301.0
1,1.0,161.0,332.0
2,2.0,174.0,361.0
3,3.0,190.0,388.0
4,4.0,208.0,414.0
5,5.0,230.0,435.0
6,6.0,257.0,454.0
7,7.0,285.0,469.0
8,8.0,314.0,472.0
9,9.0,341.0,461.0
10,10.0,365.0,438.0
11,11.0,384.0,410.0
12,12.0,398.0,377.0
13,13.0,405.0,343.0
14,14.0,408.0,309.0
15,15.0,409.0,275.0
16,16.0,403.0,241.0
17,17.0,163.0,262.0
18,18.0,180.0,252.0
19,19.0,201.0,251.0
20,20.0,221.0,250.0
21,21.0,241.0,255.0
22,22.0,292.0,247.0
23,23.0,310.0,234.0
24,24.0,332.0,226.0
25,25.0,355.0,221.0
26,26.0,379.0,228.0
27,27.0,272.0,282.0
28,28.0,276.0,305.0
29,29.0,281.0,329.0
30,30.0,286.0,354.0
31,31.0,266.0,371.0
32,32.0,278.0,374.0
33,33.0,291.0,375.0
34,34.0,302.0,370.0
35,35.0,313.0,363.0
36,36.0,185.0,295.0
37,37.0,199.0,283.0
38,38.0,219.0,282.0
39,39.0,235.0,295.0
40,40.0,219.0,302.0
41,41.0,200.0,302.0
42,42.0,313.0,283.0
43,43.0,326.0,265.0
44,44.0,345.0,259.0
45,45.0,361.0,265.0
46,46.0,350.0,278.0
47,47.0,331.0,283.0
48,48.0,258.0,413.0
49,49.0,271.0,404.0
50,50.0,284.0,396.0
51,51.0,295.0,398.0
52,52.0,306.0,393.0
53,53.0,322.0,395.0
54,54.0,341.0,398.0
55,55.0,327.0,417.0
56,56.0,314.0,426.0
57,57.0,302.0,429.0
58,58.0,290.0,430.0
59,59.0,275.0,426.0
60,60.0,266.0,413.0
61,61.0,286.0,408.0
62,62.0,297.0,408.0
63,63.0,308.0,405.0
64,64.0,334.0,399.0
65,65.0,309.0,407.0
66,66.0,298.0,410.0
67,67.0,287.0,410.0
