,i,x,y
0,0.0,283.0,225.0
1,1.0,284.0,241.0
2,2.0,287.0,257.0
3,3.0,290.0,272.0
4,4.0,295.0,287.0
5,5.0,302.0,301.0
6,6.0,313.0,313.0
7,7.0,327.0,321.0
8,8.0,341.0,325.0
9,9.0,355.0,323.0
10,10.0,368.0,315.0
11,11.0,380.0,304.0
12,12.0,388.0,291.0
13,13.0,394.0,276.0
14,14.0,398.0,261.0
15,15.0,402.0,245.0
16,16.0,404.0,228.0
17,17.0,292.0,218.0
18,18.0,301.0,214.0
19,19.0,311.0,214.0
20,20.0,321.0,217.0
21,21.0,330.0,222.0
22,22.0,353.0,223.0
23,23.0,363.0,219.0
24,24.0,373.0,216.0
25,25.0,384.0,216.0
26,26.0,393.0,221.0
27,27.0,341.0,236.0
28,28.0,341.0,246.0
29,29.0,341.0,257.0
30,30.0,341.0,267.0
31,31.0,331.0,276.0
32,32.0,336.0,277.0
33,33.0,341.0,278.0
34,34.0,346.0,277.0
35,35.0,351.0,276.0
36,36.0,304.0,235.0
37,37.0,311.0,231.0
38,38.0,319.0,231.0
39,39.0,325.0,238.0
40,40.0,318.0,239.0
41,41.0,310.0,238.0
42,42.0,357.0,238.0
43,43.0,364.0,232.0
44,44.0,372.0,232.0
45,45.0,379.0,236.0
46,46.0,372.0,239.0
47,47.0,364.0,239.0
48,48.0,322.0,295.0
49,49.0,329.0,291.0
50,50.0,336.0,288.0
51,51.0,341.0,290.0
52,52.0,346.0,288.0
53,53.0,353.0,291.0
54,54.0,361.0,296.0
55,55.0,354.0,302.0
56,56.0,347.0,304.0
57,57.0,341.0,304.0
58,58.0,335.0,304.0
59,59.0,329.0,301.0
60,60.0,326.0,295.0
61,61.0,335.0,294.0
62,62.0,341.0,295.0
63,63.0,346.0,295.0
64,64.0,357.0,296.0
65,65.0,347.0,295.0
66,66.0,341.0,296.0
67,67.0,336.0,295.0
