,i,x,y
0,0.0,531.0,284.0
1,1.0,534.0,319.0
2,2.0,542.0,352.0
3,3.0,550.0,382.0
4,4.0,561.0,413.0
5,5.0,579.0,439.0
6,6.0,603.0,461.0
7,7.0,631.0,480.0
8,8.0,662.0,485.0
9,9.0,694.0,477.0
10,10.0,725.0,459.0
11,11.0,752.0,436.0
12,12.0,773.0,408.0
13,13.0,784.0,376.0
14,14.0,790.0,342.0
15,15.0,795.0,307.0
16,16.0,798.0,272.0
17,17.0,543.0,267.0
18,18.0,559.0,252.0
19,19.0,582.0,248.0
20,20.0,605.0,250.0
21,21.0,626.0,258.0
22,22.0,670.0,256.0
23,23.0,693.0,245.0
24,24.0,719.0,242.0
25,25.0,745.0,245.0
26,26.0,765.0,260.0
27,27.0,648.0,284.0
28,28.0,648.0,307.0
29,29.0,647.0,331.0
30,30.0,647.0,356.0
31,31.0,626.0,372.0
32,32.0,638.0,376.0
33,33.0,650.0,378.0
34,34.0,663.0,375.0
35,35.0,675.0,372.0
36,36.0,570.0,285.0
37,37.0,585.0,276.0
38,38.0,604.0,276.0
39,39.0,617.0,290.0
40,40.0,602.0,293.0
41,41.0,584.0,293.0
42,42.0,689.0,289.0
43,43.0,703.0,274.0
44,44.0,722.0,274.0
45,45.0,736.0,283.0
46,46.0,724.0,291.0
47,47.0,705.0,292.0
48,48.0,611.0,414.0
49,49.0,628.0,407.0
50,50.0,643.0,402.0
51,51.0,653.0,405.0
52,52.0,665.0,402.0
53,53.0,682.0,407.0
54,54.0,701.0,413.0
55,55.0,683.0,425.0
56,56.0,667.0,430.0
57,57.0,654.0,432.0
58,58.0,642.0,430.0
59,59.0,628.0,426.0
60,60.0,618.0,415.0
61,61.0,642.0,414.0
62,62.0,653.0,415.0
63,63.0,666.0,413.0
64,64.0,693.0,413.0
65,65.0,666.0,414.0
66,66.0,653.0,415.0
67,67.0,642.0,414.0
