,i,x,y
0,0.0,251.0,163.0
1,1.0,249.0,179.0
2,2.0,249.0,195.0
3,3.0,249.0,211.0
4,4.0,253.0,226.0
5,5.0,260.0,239.0
6,6.0,269.0,250.0
7,7.0,280.0,259.0
8,8.0,294.0,263.0
9,9.0,308.0,264.0
10,10.0,323.0,259.0
11,11.0,337.0,250.0
12,12.0,348.0,238.0
13,13.0,356.0,224.0
14,14.0,363.0,209.0
15,15.0,368.0,193.0
16,16.0,372.0,177.0
17,17.0,260.0,142.0
18,18.0,269.0,137.0
19,19.0,281.0,137.0
20,20.0,292.0,139.0
21,21.0,302.0,144.0
22,22.0,321.0,148.0
23,23.0,333.0,145.0
24,24.0,345.0,147.0
25,25.0,356.0,152.0
26,26.0,363.0,160.0
27,27.0,309.0,163.0
28,28.0,307.0,172.0
29,29.0,305.0,181.0
30,30.0,304.0,191.0
31,31.0,293.0,202.0
32,32.0,297.0,204.0
33,33.0,302.0,205.0
34,34.0,308.0,205.0
35,35.0,314.0,205.0
36,36.0,267.0,160.0
37,37.0,276.0,156.0
38,38.0,285.0,157.0
39,39.0,291.0,165.0
40,40.0,283.0,166.0
41,41.0,274.0,164.0
42,42.0,326.0,171.0
43,43.0,335.0,166.0
44,44.0,345.0,166.0
45,45.0,351.0,172.0
46,46.0,344.0,175.0
47,47.0,335.0,174.0
48,48.0,280.0,227.0
49,49.0,288.0,221.0
50,50.0,296.0,217.0
51,51.0,301.0,219.0
52,52.0,306.0,219.0
53,53.0,314.0,225.0
54,54.0,320.0,234.0
55,55.0,312.0,239.0
56,56.0,304.0,240.0
57,57.0,298.0,239.0
58,58.0,293.0,238.0
59,59.0,286.0,234.0
60,60.0,284.0,227.0
61,61.0,295.0,224.0
62,62.0,300.0,225.0
63,63.0,305.0,226.0
64,64.0,316.0,232.0
65,65.0,305.0,232.0
66,66.0,299.0,232.0
67,67.0,294.0,230.0
